16:54:53.004959636 : vetrnik/tele/power_board/current 0.861
16:54:53.004985284 : vetrnik/tele/stats/energy_Ws 22
16:54:53.005424244 : vetrnik/cmnd/control/contactor 1
16:54:53.007060345 : vetrnik/cmnd/power_board/duty 255
16:54:53.007297029 : vetrnik/tele/control/contactor 5
16:54:53.009217702 : vetrnik/tele/control/contactor 4
16:54:53.502512429 : vetrnik/tele/power_board/power 8.7
16:54:53.502736002 : vetrnik/tele/power_board/time 1213
16:54:53.502970001 : vetrnik/tele/power_board/current 0.902
16:54:53.503326072 : vetrnik/tele/stats/energy_Ws 26
16:54:54.001914656 : vetrnik/tele/stats/energy_Ws 30
16:54:54.002095229 : vetrnik/cmnd/control/contactor 1
16:54:54.003858162 : vetrnik/cmnd/power_board/duty 255
16:54:54.004012939 : vetrnik/tele/control/contactor 5
16:54:54.006138204 : vetrnik/tele/control/contactor 4
16:54:54.501822916 : vetrnik/tele/power_board/power 9.1
16:54:54.502003081 : vetrnik/tele/power_board/time 1214
16:54:54.502296339 : vetrnik/tele/power_board/current 0.943
16:54:54.502605115 : vetrnik/tele/stats/energy_Ws 34
16:54:55.002432283 : vetrnik/cmnd/control/contactor 1
16:54:55.002782392 : vetrnik/tele/stats/energy_Ws 38
16:54:55.004537362 : vetrnik/cmnd/power_board/duty 255
16:54:55.502125562 : vetrnik/tele/power_board/time 1215
16:54:55.502282802 : vetrnik/tele/stats/energy_Ws 42
16:54:56.001818916 : vetrnik/tele/stats/energy_Ws 46
16:54:56.002451172 : vetrnik/cmnd/control/contactor 1
16:54:56.004202531 : vetrnik/tele/control/contactor 5
16:54:56.004311049 : vetrnik/cmnd/power_board/duty 255
16:54:56.006150445 : vetrnik/tele/control/contactor 4
16:54:56.501687288 : vetrnik/tele/power_board/time 1216
16:54:56.501821602 : vetrnik/tele/stats/energy_Ws 50
16:54:57.002112304 : vetrnik/cmnd/control/contactor 1
16:54:57.002274914 : vetrnik/tele/power_board/power 8.7
16:54:57.002621226 : vetrnik/tele/power_board/current 0.902
16:54:57.002964095 : vetrnik/tele/stats/energy_Ws 54
16:54:57.004033996 : vetrnik/cmnd/power_board/duty 255
16:54:57.004785843 : vetrnik/tele/control/contactor 5
16:54:57.006899700 : vetrnik/tele/control/contactor 4
16:54:57.502198766 : vetrnik/tele/power_board/power 9.1
16:54:57.502420080 : vetrnik/tele/power_board/time 1217
16:54:57.502749429 : vetrnik/tele/power_board/current 0.943
16:54:57.503050205 : vetrnik/tele/stats/energy_Ws 58
16:54:58.004919546 : vetrnik/tele/stats/energy_Ws 62
16:54:58.005645467 : vetrnik/cmnd/control/contactor 1
16:54:58.007565696 : vetrnik/cmnd/power_board/duty 255
16:54:58.007725010 : vetrnik/tele/control/contactor 5
16:54:58.009624313 : vetrnik/tele/control/contactor 4
16:54:58.502408154 : vetrnik/tele/power_board/time 1218
16:54:58.502547727 : vetrnik/tele/stats/energy_Ws 66
16:54:59.002144877 : vetrnik/tele/stats/energy_Ws 70
16:54:59.002273284 : vetrnik/cmnd/control/contactor 1
16:54:59.004052032 : vetrnik/cmnd/power_board/duty 255
16:54:59.004251938 : vetrnik/tele/control/contactor 5
16:54:59.005914836 : vetrnik/tele/control/contactor 4
16:54:59.502040230 : vetrnik/tele/power_board/time 1219
16:54:59.502278599 : vetrnik/tele/stats/energy_Ws 74
16:55:00.001633547 : vetrnik/tele/stats/energy_Ws 78
16:55:00.002200988 : vetrnik/cmnd/control/contactor 1
16:55:00.004072569 : vetrnik/cmnd/power_board/duty 255
16:55:00.004173142 : vetrnik/tele/control/contactor 5
16:55:00.006133241 : vetrnik/tele/control/contactor 4
16:55:00.502575856 : vetrnik/tele/power_board/time 1220
16:55:00.502778280 : vetrnik/tele/stats/energy_Ws 82
16:55:01.002067414 : vetrnik/tele/stats/energy_Ws 86
16:55:01.003757996 : vetrnik/cmnd/control/contactor 1
16:55:01.005644318 : vetrnik/tele/control/contactor 5
16:55:01.006405165 : vetrnik/tele/control/contactor 4
16:55:01.006594590 : vetrnik/cmnd/power_board/duty 255
16:55:01.502014062 : vetrnik/tele/power_board/time 1221
16:55:01.502255431 : vetrnik/tele/stats/energy_Ws 90
