17:48:33.110833019 : vetrnik/tele/power_board/current 0.492
17:48:33.111130869 : vetrnik/tele/stats/energy_Ws 3272
17:48:33.610347631 : vetrnik/tele/power_board/time 2591
17:48:33.610559037 : vetrnik/tele/stats/energy_Ws 3274
17:48:34.110126278 : vetrnik/tele/stats/energy_Ws 3276
17:48:34.609663668 : vetrnik/tele/power_board/time 2592
17:48:34.609866297 : vetrnik/tele/stats/energy_Ws 3278
17:48:35.110429106 : vetrnik/tele/stats/energy_Ws 3280
17:48:35.610335031 : vetrnik/tele/power_board/time 2593
17:48:35.610497622 : vetrnik/tele/stats/energy_Ws 3282
17:48:36.110979970 : vetrnik/tele/power_board/power 4.7
17:48:36.111130006 : vetrnik/tele/power_board/current 0.451
17:48:36.111172117 : vetrnik/tele/stats/energy_Ws 3284
17:48:36.610937709 : vetrnik/tele/power_board/time 2594
17:48:36.611224651 : vetrnik/tele/stats/energy_Ws 3286
17:48:37.111034317 : vetrnik/tele/stats/energy_Ws 3288
17:48:37.610275487 : vetrnik/tele/power_board/power 5.2
17:48:37.610482411 : vetrnik/tele/power_board/time 2595
17:48:37.610652281 : vetrnik/tele/power_board/current 0.492
17:48:37.610988520 : vetrnik/tele/stats/energy_Ws 3290
17:48:38.109795358 : vetrnik/tele/power_board/power 4.7
17:48:38.109984413 : vetrnik/tele/power_board/current 0.451
17:48:38.110285892 : vetrnik/tele/stats/energy_Ws 3292
17:48:38.610647777 : vetrnik/tele/power_board/time 2596
17:48:38.610868072 : vetrnik/tele/stats/energy_Ws 3294
17:48:39.110555147 : vetrnik/tele/power_board/power 5.2
17:48:39.110708109 : vetrnik/tele/power_board/current 0.492
17:48:39.110736849 : vetrnik/tele/stats/energy_Ws 3296
17:48:39.610042611 : vetrnik/tele/power_board/power 4.7
17:48:39.610361813 : vetrnik/tele/power_board/time 2597
17:48:39.651209645 : vetrnik/tele/power_board/current 0.451
17:48:39.651310292 : vetrnik/tele/stats/energy_Ws 3298
17:48:40.110688939 : vetrnik/tele/stats/energy_Ws 3300
17:48:40.610215199 : vetrnik/tele/power_board/power 5.2
17:48:40.610433439 : vetrnik/tele/power_board/time 2598
17:48:40.610785529 : vetrnik/tele/power_board/current 0.492
17:48:40.611117916 : vetrnik/tele/stats/energy_Ws 3302
17:48:41.110564251 : vetrnik/tele/stats/energy_Ws 3304
17:48:41.609763347 : vetrnik/tele/power_board/power 4.7
17:48:41.610028308 : vetrnik/tele/power_board/time 2599
17:48:41.610241214 : vetrnik/tele/power_board/current 0.451
17:48:41.610580453 : vetrnik/tele/stats/energy_Ws 3306
17:48:41.987224257 : vetrnik/cmnd/control/contactor 1
17:48:41.988992154 : vetrnik/tele/control/contactor 5
17:48:41.989102542 : vetrnik/cmnd/power_board/duty 25
17:48:41.990921439 : vetrnik/tele/control/contactor 4
17:48:42.111001393 : vetrnik/tele/power_board/power 5.2
17:48:42.111154652 : vetrnik/tele/power_board/duty 25
17:48:42.111296503 : vetrnik/tele/power_board/current 0.492
17:48:42.111474168 : vetrnik/tele/stats/energy_Ws 3308
17:48:42.610299099 : vetrnik/tele/power_board/power 6.0
17:48:42.610604783 : vetrnik/tele/power_board/time 2600
17:48:42.612674104 : vetrnik/tele/power_board/current 0.574
17:48:42.612724955 : vetrnik/tele/stats/energy_Ws 3310
17:48:43.110281635 : vetrnik/tele/stats/energy_Ws 3312
17:48:43.610789742 : vetrnik/tele/power_board/time 2601
17:48:43.610947000 : vetrnik/tele/stats/energy_Ws 3315
17:48:44.110337909 : vetrnik/tele/stats/energy_Ws 3318
17:48:44.610081409 : vetrnik/tele/power_board/time 2602
17:48:44.610294945 : vetrnik/tele/stats/energy_Ws 3321
17:48:45.109981057 : vetrnik/tele/stats/energy_Ws 3323
17:48:45.610640699 : vetrnik/tele/power_board/time 2603
17:48:45.610773828 : vetrnik/tele/stats/energy_Ws 3326
17:48:46.110264108 : vetrnik/tele/stats/energy_Ws 3329
17:48:46.609951812 : vetrnik/tele/power_board/time 2604
17:48:46.610108607 : vetrnik/tele/stats/energy_Ws 3331
17:48:47.110749380 : vetrnik/tele/stats/energy_Ws 3334
17:48:47.610602046 : vetrnik/tele/power_board/time 2605
17:48:47.610929359 : vetrnik/tele/stats/energy_Ws 3337
17:48:48.110192139 : vetrnik/tele/stats/energy_Ws 3340
17:48:48.610068602 : vetrnik/tele/power_board/time 2606
