datetime,amplitude,frequencies,RPM1,RPM2,RPM3,RPM4,RPM5
2024-06-30 22:15:28.636411,10.0,144.0,0,0,0,0,0
2024-06-30 22:15:34.500181,10.0,148.0,0,0,0,0,0
2024-06-30 22:15:40.372976,15.0,1.0,37,9,9,9,9
2024-06-30 22:15:46.444571,15.0,2.0,34,26,19,19,19
2024-06-30 22:15:52.308778,15.0,4.0,43,39,39,39,39
2024-06-30 22:15:58.169588,15.0,6.0,59,59,59,59,59
2024-06-30 22:16:04.024458,15.0,10.0,100,100,100,100,100
2024-06-30 22:16:09.882568,15.0,12.0,119,119,119,119,119
2024-06-30 22:16:15.742399,15.0,15.0,149,149,149,149,149
2024-06-30 22:16:21.602719,15.0,19.0,189,189,189,189,189
2024-06-30 22:16:27.460993,15.0,23.0,229,229,229,229,229
2024-06-30 22:16:33.320504,15.0,28.0,279,279,279,279,279
2024-06-30 22:16:39.186998,15.0,35.0,349,349,349,349,349
2024-06-30 22:16:45.053486,15.0,43.0,430,430,430,430,430
2024-06-30 22:16:50.921007,15.0,53.0,529,529,529,529,529
2024-06-30 22:16:56.789670,15.0,65.0,649,649,649,649,649
2024-06-30 22:17:02.648381,15.0,80.0,798,801,798,801,798
2024-06-30 22:17:08.505220,15.0,84.0,840,840,837,837,837
2024-06-30 22:17:14.360077,15.0,88.0,880,880,880,880,880
2024-06-30 22:17:20.221339,15.0,92.0,919,919,919,917,921
2024-06-30 22:17:26.083561,15.0,96.0,962,958,958,958,958
2024-06-30 22:17:31.944360,15.0,100.0,1001,1001,997,997,1000
2024-06-30 22:17:37.804156,15.0,104.0,291,34,77,47,83
2024-06-30 22:17:43.664926,15.0,108.0,62,0,0,0,0
2024-06-30 22:17:49.523381,15.0,112.0,32,0,0,0,0
2024-06-30 22:17:55.393092,15.0,116.0,31,0,0,0,0
2024-06-30 22:18:01.253238,15.0,120.0,0,0,0,0,0
2024-06-30 22:18:07.112274,15.0,124.0,0,0,0,0,0
2024-06-30 22:18:12.982042,15.0,128.0,0,0,0,0,0
2024-06-30 22:18:18.844278,15.0,132.0,0,0,0,0,0
2024-06-30 22:18:24.706454,15.0,136.0,24,0,0,0,0
2024-06-30 22:18:30.563755,15.0,140.0,0,0,0,0,0
2024-06-30 22:18:36.428307,15.0,144.0,0,0,0,0,0
2024-06-30 22:18:42.293171,15.0,148.0,0,0,0,0,0
