22:06:53.580363996 : vetrnik/tele/power_board/time 18091
22:06:54.579485230 : vetrnik/tele/power_board/time 18092
22:06:55.579823567 : vetrnik/tele/power_board/time 18093
22:06:56.579595407 : vetrnik/tele/power_board/time 18094
22:06:57.580133131 : vetrnik/tele/power_board/time 18095
22:06:58.579763341 : vetrnik/tele/power_board/time 18096
22:06:58.579874452 : vetrnik/tele/power_board/RPM 191
22:06:59.580181972 : vetrnik/tele/power_board/time 18097
22:07:00.580404512 : vetrnik/tele/power_board/time 18098
22:07:01.579688983 : vetrnik/tele/power_board/time 18099
22:07:02.580212075 : vetrnik/tele/power_board/time 18100
22:07:03.579551008 : vetrnik/tele/power_board/time 18101
22:07:04.580080655 : vetrnik/tele/power_board/time 18102
22:07:04.580193950 : vetrnik/tele/power_board/RPM 243
22:07:05.079569196 : vetrnik/tele/power_board/RPM 229
22:07:05.579510530 : vetrnik/tele/power_board/time 18103
22:07:06.579849085 : vetrnik/tele/power_board/time 18104
22:07:07.580441731 : vetrnik/tele/power_board/time 18105
22:07:08.579789958 : vetrnik/tele/power_board/time 18106
22:07:09.580163715 : vetrnik/tele/power_board/time 18107
22:07:10.080190640 : vetrnik/tele/power_board/RPM 308
22:07:10.579657255 : vetrnik/tele/power_board/time 18108
22:07:10.579859513 : vetrnik/tele/power_board/RPM 279
22:07:11.580044530 : vetrnik/tele/power_board/time 18109
22:07:12.579803456 : vetrnik/tele/power_board/time 18110
22:07:13.580323211 : vetrnik/tele/power_board/time 18111
22:07:14.579362826 : vetrnik/tele/power_board/time 18112
22:07:15.579891080 : vetrnik/tele/power_board/time 18113
22:07:16.079304453 : vetrnik/tele/power_board/RPM 328
22:07:16.580138131 : vetrnik/tele/power_board/time 18114
22:07:16.580281112 : vetrnik/tele/power_board/RPM 349
22:07:17.579593725 : vetrnik/tele/power_board/time 18115
22:07:18.580198440 : vetrnik/tele/power_board/time 18116
22:07:19.579508515 : vetrnik/tele/power_board/time 18117
22:07:20.580082174 : vetrnik/tele/power_board/time 18118
22:07:21.580010225 : vetrnik/tele/power_board/time 18119
22:07:22.580245478 : vetrnik/tele/power_board/time 18120
22:07:23.077788010 : vetrnik/tele/power_board/RPM 0
22:07:23.578448503 : vetrnik/tele/power_board/time 18121
22:07:24.577649558 : vetrnik/tele/power_board/time 18122
22:07:25.578654286 : vetrnik/tele/power_board/time 18123
22:07:26.577590861 : vetrnik/tele/power_board/time 18124
22:07:27.577824390 : vetrnik/tele/power_board/time 18125
22:07:28.577202701 : vetrnik/tele/power_board/time 18126
22:07:29.577764246 : vetrnik/tele/power_board/time 18127
22:07:30.577359833 : vetrnik/tele/power_board/time 18128
22:07:31.578032062 : vetrnik/tele/power_board/time 18129
22:07:32.578326421 : vetrnik/tele/power_board/time 18130
22:07:33.577730509 : vetrnik/tele/power_board/time 18131
22:07:34.577990924 : vetrnik/tele/power_board/time 18132
22:07:35.577306696 : vetrnik/tele/power_board/time 18133
22:07:36.577935441 : vetrnik/tele/power_board/time 18134
22:07:37.577267343 : vetrnik/tele/power_board/time 18135
22:07:38.578178808 : vetrnik/tele/power_board/time 18136
22:07:39.578272111 : vetrnik/tele/power_board/time 18137
22:07:40.578979446 : vetrnik/tele/power_board/time 18138
22:07:41.577983033 : vetrnik/tele/power_board/time 18139
22:07:42.577702078 : vetrnik/tele/power_board/time 18140
22:07:43.577834324 : vetrnik/tele/power_board/time 18141
22:07:44.577281518 : vetrnik/tele/power_board/time 18142
22:07:45.577643077 : vetrnik/tele/power_board/time 18143
22:07:46.576941530 : vetrnik/tele/power_board/time 18144
22:07:47.577490494 : vetrnik/tele/power_board/time 18145
22:07:48.578120291 : vetrnik/tele/power_board/time 18146
22:07:49.577795945 : vetrnik/tele/power_board/time 18147
22:07:50.577993521 : vetrnik/tele/power_board/time 18148
22:07:51.577268399 : vetrnik/tele/power_board/time 18149
22:07:52.577956138 : vetrnik/tele/power_board/time 18150
22:07:53.577227237 : vetrnik/tele/power_board/time 18151
22:07:54.577602329 : vetrnik/tele/power_board/time 18152
22:07:55.578189216 : vetrnik/tele/power_board/time 18153
22:07:56.577440426 : vetrnik/tele/power_board/time 18154
22:07:57.577998497 : vetrnik/tele/power_board/time 18155
22:07:58.577435186 : vetrnik/tele/power_board/time 18156
22:07:59.577961479 : vetrnik/tele/power_board/time 18157
22:08:00.577264131 : vetrnik/tele/power_board/time 18158
22:08:01.578111070 : vetrnik/tele/power_board/time 18159
22:08:02.577460147 : vetrnik/tele/power_board/time 18160
22:08:03.577495257 : vetrnik/tele/power_board/time 18161
22:08:04.578397212 : vetrnik/tele/power_board/time 18162
22:08:05.577473179 : vetrnik/tele/power_board/time 18163
22:08:06.577807786 : vetrnik/tele/power_board/time 18164
22:08:07.577401915 : vetrnik/tele/power_board/time 18165
22:08:08.579043587 : vetrnik/tele/power_board/time 18166
22:08:09.577712944 : vetrnik/tele/power_board/time 18167
22:08:10.577446608 : vetrnik/tele/power_board/time 18168
22:08:11.578043137 : vetrnik/tele/power_board/time 18169
22:08:12.577442785 : vetrnik/tele/power_board/time 18170
22:08:13.578240219 : vetrnik/tele/power_board/time 18171
22:08:14.577289906 : vetrnik/tele/power_board/time 18172
22:08:15.577674879 : vetrnik/tele/power_board/time 18173
22:08:16.577026192 : vetrnik/tele/power_board/time 18174
22:08:17.577613627 : vetrnik/tele/power_board/time 18175
22:08:18.576938958 : vetrnik/tele/power_board/time 18176
22:08:19.577531355 : vetrnik/tele/power_board/time 18177
22:08:20.578179843 : vetrnik/tele/power_board/time 18178
22:08:21.577454822 : vetrnik/tele/power_board/time 18179
22:08:22.578236716 : vetrnik/tele/power_board/time 18180
22:08:23.577436269 : vetrnik/tele/power_board/time 18181
22:08:24.578005312 : vetrnik/tele/power_board/time 18182
22:08:25.577209031 : vetrnik/tele/power_board/time 18183
22:08:26.577707926 : vetrnik/tele/power_board/time 18184
22:08:27.578279894 : vetrnik/tele/power_board/time 18185
22:08:28.577668869 : vetrnik/tele/power_board/time 18186
22:08:29.577863284 : vetrnik/tele/power_board/time 18187
22:08:30.577598497 : vetrnik/tele/power_board/time 18188
22:08:31.577705800 : vetrnik/tele/power_board/time 18189
22:08:32.577432069 : vetrnik/tele/power_board/time 18190
22:08:33.577575112 : vetrnik/tele/power_board/time 18191
22:08:34.577212176 : vetrnik/tele/power_board/time 18192
22:08:35.577666180 : vetrnik/tele/power_board/time 18193
22:08:36.577762407 : vetrnik/tele/power_board/time 18194
22:08:37.577076269 : vetrnik/tele/power_board/time 18195
22:08:38.577759659 : vetrnik/tele/power_board/time 18196
22:08:39.577076224 : vetrnik/tele/power_board/time 18197
22:08:40.577859001 : vetrnik/tele/power_board/time 18198
22:08:41.577084121 : vetrnik/tele/power_board/time 18199
22:08:42.577715288 : vetrnik/tele/power_board/time 18200
22:08:43.577924365 : vetrnik/tele/power_board/time 18201
22:08:44.577467760 : vetrnik/tele/power_board/time 18202
22:08:45.577895982 : vetrnik/tele/power_board/time 18203
22:08:46.577220823 : vetrnik/tele/power_board/time 18204
22:08:47.577806951 : vetrnik/tele/power_board/time 18205
22:08:48.577074161 : vetrnik/tele/power_board/time 18206
22:08:49.579078984 : vetrnik/tele/power_board/time 18207
22:08:50.576894388 : vetrnik/tele/power_board/time 18208
22:08:51.577746217 : vetrnik/tele/power_board/time 18209
22:08:52.578021734 : vetrnik/tele/power_board/time 18210
22:08:53.577430553 : vetrnik/tele/power_board/time 18211
22:08:54.577615571 : vetrnik/tele/power_board/time 18212
22:08:55.577284684 : vetrnik/tele/power_board/time 18213
22:08:56.577407701 : vetrnik/tele/power_board/time 18214
22:08:57.577022055 : vetrnik/tele/power_board/time 18215
22:08:58.577274922 : vetrnik/tele/power_board/time 18216
22:08:59.577839417 : vetrnik/tele/power_board/time 18217
22:09:00.577365622 : vetrnik/tele/power_board/time 18218
22:09:01.577894172 : vetrnik/tele/power_board/time 18219
22:09:02.577229618 : vetrnik/tele/power_board/time 18220
22:09:03.577731501 : vetrnik/tele/power_board/time 18221
22:09:04.577352686 : vetrnik/tele/power_board/time 18222
22:09:05.577814439 : vetrnik/tele/power_board/time 18223
22:09:06.576973348 : vetrnik/tele/power_board/time 18224
22:09:07.577325305 : vetrnik/tele/power_board/time 18225
22:09:08.577773927 : vetrnik/tele/power_board/time 18226
22:09:09.577194667 : vetrnik/tele/power_board/time 18227
22:09:10.577839899 : vetrnik/tele/power_board/time 18228
22:09:11.577174546 : vetrnik/tele/power_board/time 18229
22:09:12.577753407 : vetrnik/tele/power_board/time 18230
22:09:13.577196849 : vetrnik/tele/power_board/time 18231
22:09:14.577545582 : vetrnik/tele/power_board/time 18232
22:09:15.578082739 : vetrnik/tele/power_board/time 18233
22:09:16.577305422 : vetrnik/tele/power_board/time 18234
22:09:17.577885782 : vetrnik/tele/power_board/time 18235
22:09:18.577216075 : vetrnik/tele/power_board/time 18236
22:09:19.577735527 : vetrnik/tele/power_board/time 18237
22:09:20.577044431 : vetrnik/tele/power_board/time 18238
22:09:21.577726326 : vetrnik/tele/power_board/time 18239
22:09:22.577113765 : vetrnik/tele/power_board/time 18240
22:09:23.577882196 : vetrnik/tele/power_board/time 18241
22:09:24.578258166 : vetrnik/tele/power_board/time 18242
22:09:25.578326989 : vetrnik/tele/power_board/time 18243
22:09:25.578537192 : vetrnik/tele/power_board/RPM 35
22:09:26.078036468 : vetrnik/tele/power_board/RPM 38
22:09:26.578672866 : vetrnik/tele/power_board/time 18244
22:09:27.077403981 : vetrnik/tele/power_board/RPM 9
22:09:27.577127811 : vetrnik/tele/power_board/time 18245
22:09:28.577803481 : vetrnik/tele/power_board/time 18246
22:09:29.576975142 : vetrnik/tele/power_board/time 18247
22:09:30.577506072 : vetrnik/tele/power_board/time 18248
22:09:31.078243155 : vetrnik/tele/power_board/RPM 15
22:09:31.578827145 : vetrnik/tele/power_board/time 18249
22:09:31.579012015 : vetrnik/tele/power_board/RPM 32
22:09:32.078756436 : vetrnik/tele/power_board/RPM 35
22:09:32.578651246 : vetrnik/tele/power_board/time 18250
22:09:33.077990448 : vetrnik/tele/power_board/RPM 26
